

EC:08:6B:A3:0C:C6, 2020-12-29 14:03:41, 2020-12-29 14:03:49,  1,  54, WPA2, CCMP TKIP, PSK, -82,        8,        0,   0.  0.  0.  0,  15, home-sweet-home, 
DC:4A:3E:9F:75:1F, 2020-12-29 14:03:45, 2020-12-29 14:03:49,  6,  54, WPA2, CCMP, PSK, -66,        6,        0,   0.  0.  0.  0,  29, DIRECT-1E-HP ENVY 5540 series, 
9C:97:26:46:15:21, 2020-12-29 14:03:41, 2020-12-29 14:03:48, 11,  54, WPA2, CCMP, PSK, -30,       10,        6,   0.  0.  0.  0,   9, A1-461521, 

Station MAC, First time seen, Last time seen, Power, # packets, 
94:08:53:41:FA:2B, 2020-12-29 14:03:45, 2020-12-29 14:03:45, -82,       19, 9C:97:26:46:15:21,
BC:3D:85:00:06:C0, 2020-12-29 14:03:41, 2020-12-29 14:03:41, -50,        1, 9C:97:26:46:15:21,

